ID,Age_ka,d18O,MgCa
"339-U1385D-15H-4,21-22",1274.79,3.01,
"339-U1385D-15H-4,2-3",1273.32,3.31,
"339-U1385D-15H-4,25-26",1275.1,3.08,
"339-U1385D-15H-4,27-28",1275.26,3.23,
"339-U1385D-15H-4,28-29",1275.34,3.19,
"339-U1385D-15H-4,29-30",1275.41,3.28,
"339-U1385D-15H-4,30-31",1275.49,3.11,
"339-U1385D-15H-4,31-32",1275.57,2.86,
"339-U1385D-15H-4,31-32",1275.57,,1.209
"339-U1385D-15H-4,32-33",1275.65,3.12,
"339-U1385D-15H-4,33-34",1275.72,3.08,
"339-U1385D-15H-4,3-4",1273.4,3.36,
"339-U1385D-15H-4,36-37",1275.96,3.04,
"339-U1385D-15H-4,39-40",1276.19,3.19,
"339-U1385D-15H-4,40-41",1276.27,3,
"339-U1385D-15H-4,41-42",1276.34,2.98,
"339-U1385D-15H-4,41-42",1276.34,,1.424
"339-U1385D-15H-4,42-43",1276.42,2.93,
"339-U1385D-15H-4,4-5",1273.47,3.24,
"339-U1385D-15H-4,48-49",1276.89,2.72,
"339-U1385D-15H-4,51-52",1277.12,3.03,
"339-U1385D-15H-4,51-52",1277.12,,1.179
"339-U1385D-15H-4,52-53",1277.2,3.06,
"339-U1385D-15H-4,53-54",1277.28,3.11,
"339-U1385D-15H-4,54-55",1277.35,2.96,
"339-U1385D-15H-4,5-6",1273.55,3.12,
"339-U1385D-15H-4,58-59",1277.66,3.12,
"339-U1385D-15H-4,59-60",1277.74,2.85,
"339-U1385D-15H-4,59-60",1277.74,,1.2
"339-U1385D-15H-4,60-61",1277.82,3.11,
"339-U1385D-15H-4,62-63",1277.97,3.09,
"339-U1385D-15H-4,62-63",1277.97,,1.206
"339-U1385D-15H-4,65-66",1278.21,2.98,
"339-U1385D-15H-4,6-7",1273.63,3.28,
"339-U1385D-15H-4,67-68",1278.36,3.09,
"339-U1385D-15H-4,69-70",1278.52,3.03,
"339-U1385D-15H-4,70-71",1278.59,2.84,
"339-U1385D-15H-4,71-72",1278.67,3.1,
"339-U1385D-15H-4,71-72",1278.67,,1.344
"339-U1385D-15H-4,72-73",1278.75,2.98,
"339-U1385D-15H-4,73-74",1278.83,3.14,
"339-U1385D-15H-4,75-76",1278.98,3.11,
"339-U1385D-15H-4,76-77",1279.06,3,
"339-U1385D-15H-4,77-78",1279.14,3.31,
"339-U1385D-15H-4,7-8",1273.71,3.2,
"339-U1385D-15H-4,78-79",1279.22,2.23,
"339-U1385D-15H-4,79-80",1279.29,3.21,
"339-U1385D-15H-4,80-81",1279.37,3.15,
"339-U1385D-15H-4,81-82",1279.45,3.01,
"339-U1385D-15H-4,81-82",1279.45,,1.351
"339-U1385D-15H-4,82-83",1279.53,3.09,
